time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,qfi,entropy,purity,linear_entropy,simulator,n_traj_used,max_hierarchy_used
858.0,5.2115275422773484e-12,2.208913085480202e-12,1.943374855737532e-11,5.90890197431119e-13,1.414244550640758e-13,5.0854534739575416e-14,7.663787919055139e-15,6.519401598008948e-11,1.973955948879702e-06,8.37880168334828e-10,7.642472502427425e-22,1.0,MesoHOPS,1.0,10.0
860.0,4.512288630396035e-12,1.8052893931861659e-12,2.0342520902342148e-11,5.219304162769807e-13,1.6790994316215909e-13,4.3597284136978415e-14,5.633681769749794e-15,6.085120245586182e-11,1.7849091726018763e-06,8.321478765553699e-10,7.507145304580908e-22,1.0,MesoHOPS,1.0,10.0
862.0,4.041120054008292e-12,1.4286955631820795e-12,2.0928197541678337e-11,4.764559281435303e-13,1.9280813426620303e-13,3.636958604474273e-14,4.356627590839702e-15,5.691376604619188e-11,1.619916023840832e-06,8.253561657705813e-10,7.348438502273105e-22,1.0,MesoHOPS,1.0,10.0
864.0,3.640215006654983e-12,1.1237812844042406e-12,2.1724442277985347e-11,4.669396584504429e-13,2.0709156211468449e-13,2.9342259288349854e-14,3.84155482798641e-15,5.381601036893349e-11,1.48656581747338e-06,8.274010071467267e-10,7.3960357493385675e-22,1.0,MesoHOPS,1.0,10.0
866.0,3.2925679658455623e-12,9.071420055140475e-13,2.214096846071282e-11,4.752937414372109e-13,2.1186672686601002e-13,2.321261051781521e-14,4.0802364822959434e-15,5.106114796076435e-11,1.3880221227142377e-06,8.241225546776164e-10,7.319801538678599e-22,1.0,MesoHOPS,1.0,10.0
868.0,2.9081255881677237e-12,7.367135817728077e-13,2.264335050083843e-11,5.244368354350894e-13,2.1534974831010105e-13,1.8176307993243703e-14,4.906390701712764e-15,4.890450791127183e-11,1.2954934077066119e-06,8.240275232768179e-10,7.317597904905356e-22,1.0,MesoHOPS,1.0,10.0
870.0,2.5311212488993277e-12,5.890521376499839e-13,2.303164945806545e-11,5.811926989028889e-13,2.0918002059143658e-13,1.4133526400074888e-14,6.359599787825689e-15,4.658389993919527e-11,1.1847651524637773e-06,8.219654093648597e-10,7.269865814098692e-22,1.0,MesoHOPS,1.0,10.0
872.0,2.3029083968378034e-12,4.591185298920814e-13,2.3103343134296935e-11,6.518618566125364e-13,1.963013473595514e-13,1.043681309239802e-14,8.459798897012974e-15,4.460733113406689e-11,1.089509386400111e-06,8.165909731112767e-10,7.146228071280977e-22,1.0,MesoHOPS,1.0,10.0
874.0,2.072518092621065e-12,3.520080693189486e-13,2.264909681928802e-11,7.523257739086211e-13,1.8405269988433328e-13,7.173036726788544e-15,1.0725371052292655e-14,4.247539339155384e-11,9.98962046558178e-07,8.001342521461903e-10,6.774515712679479e-22,1.0,MesoHOPS,1.0,10.0
876.0,1.8757197411695908e-12,2.7212853000293065e-13,2.1817798198991173e-11,8.684695786994837e-13,1.6840247001246632e-13,4.3493365704574624e-15,1.3569361619820926e-14,4.0377581310785863e-11,9.176489223602598e-07,7.765682297160504e-10,6.260222785331373e-22,1.0,MesoHOPS,1.0,10.0
878.0,1.681985412345122e-12,2.126960040898668e-13,2.1262490469742834e-11,9.687363538278561e-13,1.4712098980626083e-13,2.1959370189128488e-15,1.673139872461352e-14,3.8327548601255316e-11,8.548101476711725e-07,7.595028206826911e-10,5.900991537828332e-22,1.0,MesoHOPS,1.0,10.0
880.0,1.4893181835833478e-12,1.7054343717111103e-13,2.0754443759187644e-11,1.0577773642382127e-12,1.2527542052786607e-13,8.053894556475502e-16,2.0183667437463517e-14,3.631904257492268e-11,7.946858061289158e-07,7.437034006495167e-10,5.578263254801214e-22,1.0,MesoHOPS,1.0,10.0
882.0,1.3182586997213596e-12,1.4587177832416777e-13,2.0239439235248646e-11,1.153203840804432e-12,1.0482177315322178e-13,1.9802936834824436e-16,2.3888202931458045e-14,3.4701049148596255e-11,7.4697382451706e-07,7.288468216350043e-10,5.283415567571118e-22,1.0,MesoHOPS,1.0,10.0
884.0,1.1614304905407568e-12,1.345074907606289e-13,2.0095460040174007e-11,1.3148217727418039e-12,8.571930441124967e-14,3.5812856546232626e-16,2.810876092610003e-14,3.4231358066102985e-11,7.158601567592132e-07,7.249628864520582e-10,5.207709294626236e-22,1.0,MesoHOPS,1.0,10.0
886.0,9.95374093136243e-13,1.3206518037954188e-13,2.0114951264667204e-11,1.4458042602084187e-12,6.751103432712149e-14,1.2885630058581628e-15,3.127744529660801e-14,3.3778031251527335e-11,6.844362851811778e-07,7.242076031971206e-10,5.193053335002704e-22,1.0,MesoHOPS,1.0,10.0
888.0,8.643811384295447e-13,1.3732995800455194e-13,1.913489371194303e-11,1.5579640379529889e-12,5.20148819620213e-14,2.9453350826637537e-15,3.4565294100339207e-14,3.28440712966796e-11,6.409059943817484e-07,7.005821801336909e-10,4.745467669753803e-22,1.0,MesoHOPS,1.0,10.0
890.0,7.391305587387226e-13,1.4454092159306342e-13,1.783315339634821e-11,1.665572983838348e-12,3.839499330349745e-14,5.271333945314442e-15,3.860778515933626e-14,3.1641406831770344e-11,5.990714865194319e-07,6.694692031650985e-10,4.18802798959483e-22,1.0,MesoHOPS,1.0,10.0
892.0,6.162485280563988e-13,1.5036827195950635e-13,1.7068387208071633e-11,1.7804026632832591e-12,2.4937228891240598e-14,8.389935680233684e-15,4.27212141032716e-14,3.0643301633212804e-11,5.617404745048224e-07,6.511969621961411e-10,3.877534019879642e-22,1.0,MesoHOPS,1.0,10.0
894.0,5.152988276964883e-13,1.578295831421965e-13,1.6882754470646505e-11,1.8916239058939997e-12,1.4354239839011412e-14,1.2009856556645607e-14,4.600497779405541e-14,3.008726062196634e-11,5.422876539165685e-07,6.47138221193943e-10,3.810255536510603e-22,1.0,MesoHOPS,1.0,10.0
896.0,4.164050754308924e-13,1.6947004739521538e-13,1.668051884364839e-11,2.0101422727817818e-12,6.983881005055465e-15,1.581749507396345e-14,5.054359198449244e-14,2.955345701200282e-11,5.196397191994773e-07,6.431154753473651e-10,3.7441790273738757e-22,1.0,MesoHOPS,1.0,10.0
898.0,3.297828058634003e-13,1.7730364437035698e-13,1.6478651705408997e-11,2.1256067113136566e-12,2.512625600646767e-15,2.0293287002138415e-14,5.577890735278392e-14,2.8993581733068343e-11,4.946502098468051e-07,6.393290262737386e-10,3.682534013886257e-22,1.0,MesoHOPS,1.0,10.0
900.0,2.699258661406605e-13,1.9057906413042847e-13,1.5701161429700834e-11,2.146510818668605e-12,8.669254763488366e-16,2.5009161443137677e-14,6.05338934066799e-14,2.808081477666653e-11,4.59198330334524e-07,6.204812768108247e-10,3.383608367488225e-22,1.0,MesoHOPS,1.0,10.0
902.0,2.2846185977324857e-13,2.0043158247787428e-13,1.4640012439987428e-11,2.2038823581491247e-12,1.9967101899203215e-15,3.053356189015256e-14,6.492062026347681e-14,2.7662797019632428e-11,4.270732579349241e-07,5.961557358045556e-10,3.0172520752826726e-22,1.0,MesoHOPS,1.0,10.0
904.0,2.0306049575725695e-13,2.1024291188616917e-13,1.3671405496751607e-11,2.268561830461689e-12,5.6176929462300766e-15,3.6575089831688064e-14,6.956372725507646e-14,2.7661134897846006e-11,4.009115062324276e-07,5.746091727900413e-10,2.7109712217496057e-22,1.0,MesoHOPS,1.0,10.0
